scenario,n_vars,n_farms,n_foods,formulation,Native_obj,Native_time,Native_qpu,Native_status,Hier(Orig)_obj,Hier(Orig)_time,Hier(Orig)_qpu,Hier(Orig)_status,Hier(Rep)_obj,Hier(Rep)_time,Hier(Rep)_qpu,Hier(Rep)_status,Hybrid_obj,Hybrid_time,Hybrid_qpu,Hybrid_status,Gurobi_obj,Gurobi_time,Gurobi_status,Gurobi_mip_gap,var_bin
rotation_micro_25,90,5,6,6-Family,-4.670895263642125,2.9958198070526123,0.03969796,feasible,-5.502733699840847,5.234575033187866,0.07940312,feasible,-4.863684770998783,7.926696538925171,0.11909148,feasible,,,,missing,6.168884162643764,6.251146078109741,optimal,0.0,â‰¤100
rotation_small_50,180,10,6,6-Family,,0.32875752449035645,,error,-3.8756052949844912,18.61082434654236,0.15880624,feasible,-21.786671592696617,16.088295221328735,0.23220976000000004,feasible,,,,missing,8.687446707523605,100.12289690971375,timeout,307.1263938994301,101-500
rotation_15farms_6foods,270,15,6,6-Family,,0.32715272903442383,,error,-5.095623393008431,17.14923357963562,0.23821416,feasible,-26.216094322837655,17.266528606414795,0.24408296,feasible,,,,missing,9.67541763098427,26.283005952835083,feasible,361.40361437185254,101-500
rotation_medium_100,360,20,6,6-Family,,0.33712148666381836,,error,-24.88988693785216,26.440995931625366,0.31762248000000004,feasible,-39.243209384127354,25.07223153114319,0.36151004000000003,feasible,,,,missing,12.784948306474519,100.19068789482117,timeout,260.19065886334533,101-500
rotation_25farms_6foods,450,25,6,6-Family,,0.3336472511291504,,error,-31.146908170552877,29.194613456726074,0.3970256,feasible,-52.67387666803894,26.157235622406006,0.37103724000000005,feasible,,,,missing,13.45030359981726,100.19656205177307,timeout,573.1943726910243,101-500
rotation_50farms_6foods,900,50,6,6-Family,,0.34133338928222656,,error,-50.96162089001362,56.212310791015625,0.7940492000000001,feasible,-109.66745444448111,52.281041383743286,0.7465292800000002,feasible,,,,missing,26.91964898820862,100.70342707633972,timeout,215.83888487839232,501-1k
rotation_large_200,900,50,6,6-Family,,0.3556070327758789,,error,-37.470630062330336,58.43698740005493,0.7940476000000001,feasible,-94.63941019791295,75.68951106071472,0.7465300800000001,feasible,,,,missing,21.566293977258738,100.38440227508545,timeout,215.26721172170755,501-1k
rotation_75farms_6foods,1350,75,6,6-Family,,0.3649752140045166,,error,-70.14864616640361,89.97480297088623,1.1910712000000003,feasible,-161.4393698688119,78.68275475502014,1.09282772,feasible,,,,missing,40.370088048114894,100.7842071056366,timeout,215.88318584479288,1k-2k
rotation_100farms_6foods,1800,100,6,6-Family,,0.3692638874053955,,error,-77.7837893221828,119.96530270576477,1.5880755999999991,feasible,-229.14286690955802,106.83110427856445,1.4871261600000005,feasible,,,,missing,53.76509665723643,100.72457098960876,timeout,176410.62291704954,1k-2k
rotation_25farms_27foods,2025,25,27,27-Food,,,,missing,,,,missing,-57.6042144530338,29.879923105239868,0.37103724,feasible,-171.338871668315,112.58183765411377,1.62510644,feasible,11.675710988812511,103.75878572463989,timeout,258.0425445049741,2k-5k
rotation_50farms_27foods,4050,50,27,27-Food,,,,missing,,,,missing,-102.61020652436801,59.27031111717224,0.7465284800000002,feasible,-340.02605441274034,227.87020826339722,3.1377286000000004,feasible,23.35510608408407,111.98359513282776,timeout,257.84964422261675,2k-5k
rotation_100farms_27foods,8100,100,27,27-Food,,,,missing,,,,missing,-235.11386057524436,177.55841398239136,1.4871229600000007,feasible,,184.78426480293274,,error,46.68364623525099,134.0198700428009,timeout,379.4806764302049,>5k
rotation_200farms_27foods,16200,200,27,27-Food,,,,missing,,,,missing,-500.5923285338888,323.19892954826355,2.8713468400000015,feasible,,1.2900059223175049,,error,93.51578256484049,142.15471386909485,timeout,296.5971722539057,>5k
